N M h2 pval
-1 -1 0.0001 0.13611880112823604
-1 -1 0.0001 0.07032340889941902
-1 -1 0.0001 0.001972434093538311
-1 -1 0.0001 0.31301997848080454
-1 -1 0.0001 8.63874705836487e-06
-1 -1 0.0001 0.14641585002946056
-1 -1 0.0001 0.0012650334613477643
-1 -1 0.0001 0.020800813864826462
-1 -1 0.0001 0.0
-1 -1 0.0001 0.09941586725593254
-1 -1 0.0001 0.048933839209806984
-1 -1 0.0001 0.2642913869996524
-1 -1 0.0001 0.0006881176616455598
-1 -1 0.0001 0.0005284258488660321
-1 -1 0.0001 0.05656451510224536
-1 -1 0.0001 0.07064217631364111
-1 -1 0.0001 0.06163209743638487
-1 -1 0.0001 0.03210137236756694
-1 -1 0.0001 0.0037462573790684184
-1 -1 0.0001 0.03967922248420086
-1 -1 0.0001 0.12924402006772717
-1 -1 0.0001 0.012404496540928456
-1 -1 0.0001 0.05808331595360605
-1 -1 0.0001 0.04179413005365873
-1 -1 0.0001 0.11016702478388452
-1 -1 0.0001 0.013043780421212903
-1 -1 0.0001 0.07432933648160045
-1 -1 0.0001 0.05640777284395948
-1 -1 0.0001 6.133527350904444e-06
-1 -1 0.0001 0.055146964980397506
-1 -1 0.0001 0.23129759616473022
-1 -1 0.0001 0.3879029975911992
-1 -1 0.0001 0.17379413713792802
-1 -1 0.0001 0.5732627303246205
-1 -1 0.0001 0.015541356497182246
-1 -1 0.0001 0.13230156939214377
-1 -1 0.0001 0.0008515139192928345
-1 -1 0.0001 0.08390865548468707
-1 -1 0.0001 0.031937331388309786
-1 -1 0.0001 1.2507196580857638e-05
-1 -1 0.0001 0.0015409487206784478
-1 -1 0.0001 0.004352902346627441
-1 -1 0.0001 0.0694917730080693
-1 -1 0.0001 0.027328348652046697
-1 -1 0.0001 0.03544894150623279
-1 -1 0.0001 0.4085263628846201
-1 -1 0.0001 4.588774128388984e-05
-1 -1 0.0001 0.16240095625676942
-1 -1 0.0001 0.11372451580072518
-1 -1 0.0001 0.1192706016474101
-1 -1 0.0001 0.014435398287401258
-1 -1 0.0001 0.0010266463989131447
-1 -1 0.0001 3.285784111883849e-05
-1 -1 0.0001 0.00019670306704400176
-1 -1 0.0001 0.01672551366862174
-1 -1 0.0001 0.0002872551314667682
-1 -1 0.0001 0.02765204554294831
-1 -1 0.0001 0.06242224121856821
-1 -1 0.0001 0.005079364349294568
-1 -1 0.0001 0.3148319948965632
-1 -1 0.0001 0.015856504601538868
-1 -1 0.0001 0.0003793043860040868
-1 -1 0.0001 0.0015517795559358838
-1 -1 0.0001 0.4832376006318869
-1 -1 0.0001 0.23159336223651406
-1 -1 0.0001 0.3688755684574828
-1 -1 0.0001 0.017140230059659367
-1 -1 0.0001 0.11336959920604184
-1 -1 0.0001 0.05250375188298251
-1 -1 0.0001 0.04167165854945809
-1 -1 0.0001 2.4440876867592998e-05
-1 -1 0.0001 4.0896432686787776e-05
-1 -1 0.0001 0.0014925996869202818
-1 -1 0.0001 0.12563953496269742
-1 -1 0.0001 6.15850868848078e-05
-1 -1 0.0001 0.0036289425786719676
-1 -1 0.0001 0.26836528215220357
-1 -1 0.0001 3.8006752990371595e-06
-1 -1 0.0001 0.015233017498216483
-1 -1 0.0001 0.344257376472046
-1 -1 0.0001 0.14004130441059814
-1 -1 0.0001 0.3805432745174514
-1 -1 0.0001 0.08390173644173338
-1 -1 0.0001 0.05698665202870978
-1 -1 0.0001 0.002544915156615035
-1 -1 0.0001 0.0008595174376810899
-1 -1 0.0001 0.02007944020278729
-1 -1 0.0001 0.4435282054999252
-1 -1 0.0001 0.04968265260599969
-1 -1 0.0001 0.004384895135069566
-1 -1 0.0001 0.526340603222663
-1 -1 0.0001 0.10545733443556249
-1 -1 0.0001 0.07276593199576964
-1 -1 0.0001 9.223164906213555e-05
-1 -1 0.0001 0.26983327975751703
-1 -1 0.0001 0.06436191482509224
-1 -1 0.0001 0.2565836827843394
-1 -1 0.0001 0.0360188838401555
-1 -1 0.0001 0.2861657749042834
-1 -1 0.0001 0.07632787620218151
-1 -1 0.0001 0.06886078220736769
-1 -1 0.0001 0.006463700016823171
-1 -1 0.0001 5.579721351622879e-09
-1 -1 0.0001 0.016407247650395806
-1 -1 0.0001 0.021739604603023377
-1 -1 0.0001 0.06665585048930422
-1 -1 0.0001 0.014610546465807617
-1 -1 0.0001 0.006084724404941011
-1 -1 0.0001 0.26844850945217025
-1 -1 0.0001 1.7971674600936183e-05
-1 -1 0.0001 0.0073299429470836674
-1 -1 0.0001 0.7578418287155426
-1 -1 0.0001 0.0619292943690144
-1 -1 0.0001 0.005717406405513992
-1 -1 0.0001 0.0008397175005249169
-1 -1 0.0001 0.0005068138858403959
-1 -1 0.0001 7.093516004474942e-06
-1 -1 0.0001 0.002253561628040801
-1 -1 0.0001 0.04378676418619776
-1 -1 0.0001 0.3519324798692335
-1 -1 0.0001 0.0016390093725570098
-1 -1 0.0001 0.867243415895524
-1 -1 0.0001 0.5618477104115237
-1 -1 0.0001 0.000578234234137609
-1 -1 0.0001 0.0002826861522218227
-1 -1 0.0001 1.5383258176848713e-05
-1 -1 0.0001 0.0023119443413754937
-1 -1 0.0001 0.13129865521652084
-1 -1 0.0001 0.0015161460496364576
-1 -1 0.0001 0.008528702327710969
-1 -1 0.0001 0.0002519736858686006
-1 -1 0.0001 0.008205443463703554
-1 -1 0.0001 0.0013235001432392313
-1 -1 0.0001 0.02013163669137541
-1 -1 0.0001 0.000250158113479948
-1 -1 0.0001 0.7220302683618696
-1 -1 0.0001 0.012830778996702152
-1 -1 0.0001 0.0002493806867935877
-1 -1 0.0001 0.10549402597155177
