N M h2 pval
-1 -1 0.0001 2.9569041687382835e-06
-1 -1 0.0001 7.847322068266216e-06
-1 -1 0.0001 7.701245715074911e-05
-1 -1 0.0001 0.0003066016090094159
-1 -1 0.0001 0.036784600430873615
-1 -1 0.0001 0.04528054583834229
-1 -1 0.0001 -9.769962616701378e-15
-1 -1 0.0001 8.448578288966502e-06
-1 -1 0.0001 0.7686440335897062
-1 -1 0.0001 0.025146458193181176
-1 -1 0.0001 0.3052786261592002
-1 -1 0.0001 0.2760310902658243
-1 -1 0.0001 8.124904227191365e-07
-1 -1 0.0001 0.001154591829692131
-1 -1 0.0001 0.506573109313118
-1 -1 0.0001 0.0012903977402310973
-1 -1 0.0001 0.24383662453549426
-1 -1 0.0001 0.0003446088315459672
-1 -1 0.0001 5.174827625298306e-07
-1 -1 0.0001 0.001624243685521054
-1 -1 0.0001 0.02636396820063336
-1 -1 0.0001 0.0003361846307812222
-1 -1 0.0001 0.002495295006269105
-1 -1 0.0001 1.2466292630186615e-05
-1 -1 0.0001 0.005501011737614636
-1 -1 0.0001 0.03650672729783633
-1 -1 0.0001 0.001476765061371843
-1 -1 0.0001 0.014903526151240243
-1 -1 0.0001 0.0028748009947561215
-1 -1 0.0001 0.004730654417516189
-1 -1 0.0001 0.004240331949992071
-1 -1 0.0001 0.0003249796333499866
-1 -1 0.0001 0.3453475152861165
