N,M,h2,h2_est,h2_diff
-1,-1,0.01,0.009091790882285875,0.000908209117714125
-1,-1,0.01,0.011243171040495693,-0.0012431710404956931
-1,-1,0.01,0.0042147661339718735,0.005785233866028127
-1,-1,0.01,0.008994894924198672,0.001005105075801328
-1,-1,0.01,0.012402526468018827,-0.002402526468018827
-1,-1,0.01,0.010848587814274155,-0.0008485878142741547
-1,-1,0.01,0.007027042571524252,0.002972957428475748
-1,-1,0.01,0.009176641360986261,0.0008233586390137392
-1,-1,0.01,0.0082092547243364,0.0017907452756635994
-1,-1,0.01,0.011459194512721862,-0.001459194512721862
-1,-1,0.01,0.010223274027077034,-0.00022327402707703406
-1,-1,0.01,0.009366663711850116,0.0006333362881498841
-1,-1,0.01,0.010583570063397881,-0.000583570063397881
-1,-1,0.01,0.012418613184496902,-0.002418613184496902
-1,-1,0.01,0.01025050401683453,-0.00025050401683453065
-1,-1,0.01,0.00847656320643397,0.0015234367935660301
-1,-1,0.01,0.011628208738547184,-0.0016282087385471843
-1,-1,0.01,0.009470457265989341,0.0005295427340106587
-1,-1,0.01,0.005616370168262707,0.004383629831737294
-1,-1,0.01,0.005245176008881828,0.004754823991118172
-1,-1,0.01,0.011090652831571677,-0.001090652831571677
-1,-1,0.01,0.009210800809216014,0.0007891991907839867
-1,-1,0.01,0.014321582325255175,-0.004321582325255174
-1,-1,0.01,0.0075951217591342475,0.0024048782408657527
-1,-1,0.01,0.010077589197569556,-7.758919756955564e-05
-1,-1,0.01,0.011846419049225562,-0.0018464190492255613
-1,-1,0.01,0.007869383847948452,0.0021306161520515485
-1,-1,0.01,0.00987939973315691,0.00012060026684308951
-1,-1,0.01,0.008128235217323114,0.0018717647826768866
-1,-1,0.01,0.008148920581241408,0.0018510794187585923
-1,-1,0.01,0.011169760464257909,-0.0011697604642579087
-1,-1,0.01,0.01043990513528854,-0.0004399051352885399
-1,-1,0.01,0.013109136881691318,-0.0031091368816913174
-1,-1,0.01,0.010809088926146316,-0.0008090889261463154
-1,-1,0.01,0.007502877497655129,0.0024971225023448715
-1,-1,0.01,0.010961842869427444,-0.0009618428694274442
-1,-1,0.01,0.010605845282444034,-0.0006058452824440341
-1,-1,0.01,0.00994995464348255,5.004535651744954e-05
-1,-1,0.01,0.008152962833087453,0.0018470371669125473
-1,-1,0.01,0.005184868204286691,0.004815131795713309
-1,-1,0.01,0.011069423125941348,-0.0010694231259413475
-1,-1,0.01,0.011090652831571677,-0.001090652831571677
-1,-1,0.01,0.009560582921802984,0.0004394170781970158
-1,-1,0.01,0.006663828359686476,0.003336171640313524
-1,-1,0.01,0.014191589856494368,-0.0041915898564943675
-1,-1,0.01,0.005308161169255147,0.004691838830744853
-1,-1,0.01,0.009149404195482335,0.0008505958045176652
-1,-1,0.01,0.006334592822845476,0.0036654071771545244
-1,-1,0.01,0.012352102056936199,-0.002352102056936199
-1,-1,0.01,0.00962769115843471,0.0003723088415652897
-1,-1,0.01,0.011465568197341904,-0.0014655681973419037
-1,-1,0.01,0.011142181689680742,-0.0011421816896807421
-1,-1,0.01,0.008284397078573136,0.0017156029214268637
-1,-1,0.01,0.009367823649151945,0.0006321763508480554
-1,-1,0.05,0.0344084913631954,0.015591508636804606
